work_year,experience_level,employment_type,salary_in_usd,remote_ratio,company_location,company_size,experience_level_ord,employment_type_cat,is_full_time,fully_remote_flag,role_category,leadership_flag,company_size_ord,company_country
2020,MI,FT,79833,0,DE,L,1,FT,1,0,Data Scientist,0,2,DE
2020,SE,FT,260000,0,JP,S,2,FT,1,0,ML Engineer,0,0,JP
2020,SE,FT,109024,50,UK,M,2,FT,1,0,Data Engineer,0,1,UK
2020,MI,FT,20000,0,HN,S,1,FT,1,0,Analyst,0,0,HN
2020,SE,FT,150000,50,USA,L,2,FT,1,0,ML Engineer,0,2,USA
2020,EN,FT,72000,100,USA,L,0,FT,1,1,Analyst,0,2,USA
2020,SE,FT,190000,100,USA,S,2,FT,1,1,Data Scientist,1,0,USA
2020,MI,FT,35735,50,HU,L,1,FT,1,0,Data Scientist,0,2,HU
2020,MI,FT,135000,100,USA,L,1,FT,1,1,Analyst,0,2,USA
2020,SE,FT,125000,50,NZ,S,2,FT,1,0,Data Engineer,1,0,NZ
2020,EN,FT,51321,0,FR,S,0,FT,1,0,Data Scientist,0,0,FR
2020,MI,FT,40481,0,India,L,1,FT,1,0,Data Scientist,0,2,India
2020,EN,FT,39916,0,FR,M,0,FT,1,0,Data Scientist,0,1,FR
2020,MI,FT,87000,100,USA,L,1,FT,1,1,Analyst,1,2,USA
2020,MI,FT,85000,100,USA,L,1,FT,1,1,Analyst,0,2,USA
2020,MI,FT,8000,50,PK,L,1,FT,1,0,Analyst,0,2,PK
2020,EN,FT,41689,100,JP,S,0,FT,1,1,Data Engineer,0,0,JP
2020,SE,FT,114047,100,UK,S,2,FT,1,1,Data Engineer,0,0,UK
2020,EN,FT,5707,50,India,M,0,FT,1,0,Other,0,1,India
2020,MI,FT,56000,100,USA,M,1,FT,1,1,Data Engineer,1,1,USA
2020,MI,FT,43331,0,CN,M,1,FT,1,0,ML Engineer,0,1,CN
2020,MI,FT,6072,100,India,L,1,FT,1,1,Analyst,0,2,India
2020,SE,FT,47899,50,GR,L,2,FT,1,0,Data Engineer,0,2,GR
2020,MI,FT,98000,0,USA,M,1,FT,1,0,Analyst,0,1,USA
2020,MI,FT,115000,0,AE,L,1,FT,1,0,Data Scientist,1,2,AE
2020,EX,FT,325000,100,USA,L,3,FT,1,1,Director,1,2,USA
2020,EN,FT,42000,50,NL,L,0,FT,1,0,Research,0,2,NL
2020,SE,FT,33511,0,MX,S,2,FT,1,0,Data Engineer,0,0,MX
2020,EN,CT,100000,100,USA,L,0,CT,0,1,Analyst,0,2,USA
2020,SE,FT,117104,50,CA,L,2,FT,1,0,ML Engineer,1,2,CA
2020,MI,FT,59303,100,DE,S,1,FT,1,1,Data Engineer,1,0,DE
2020,EN,FT,70000,100,USA,L,0,FT,1,1,Data Engineer,0,2,USA
2020,SE,FT,68428,100,USA,L,2,FT,1,1,Data Scientist,0,2,USA
2020,MI,FT,450000,0,USA,M,1,FT,1,0,Research,0,1,USA
2020,MI,FT,46759,50,FR,L,1,FT,1,0,Analyst,0,2,FR
2020,MI,FT,74130,50,AT,L,1,FT,1,0,Data Engineer,0,2,AT
2020,MI,FT,103000,100,USA,L,1,FT,1,1,Other,0,2,USA
2020,EN,FT,250000,50,USA,L,0,FT,1,0,ML Engineer,0,2,USA
2020,EN,FT,10000,100,NG,S,0,FT,1,1,Analyst,0,0,NG
2020,EN,FT,138000,100,USA,S,0,FT,1,1,ML Engineer,0,0,USA
2020,MI,FT,45760,100,USA,S,1,FT,1,1,Data Scientist,0,0,USA
2020,EX,FT,79833,50,ES,L,3,FT,1,0,Data Engineer,1,2,ES
2020,MI,FT,50180,0,PT,M,1,FT,1,0,ML Engineer,0,1,PT
2020,MI,FT,106000,100,USA,L,1,FT,1,1,Data Engineer,0,2,USA
2020,MI,FT,112872,50,UK,L,1,FT,1,0,Data Engineer,0,2,UK
2020,EN,PT,15966,100,DE,S,0,PT,0,1,ML Engineer,0,0,DE
2020,MI,FT,76958,100,UK,S,1,FT,1,1,Data Scientist,0,0,UK
2020,SE,FT,188000,100,USA,L,2,FT,1,1,Data Engineer,0,2,USA
2020,MI,FT,105000,100,USA,L,1,FT,1,1,Data Scientist,0,2,USA
2020,MI,FT,70139,50,FR,L,1,FT,1,0,Data Engineer,0,2,FR
2020,EN,FT,6072,0,India,S,0,FT,1,0,Analyst,0,0,India
2020,EN,FT,91000,100,USA,L,0,FT,1,1,Analyst,0,2,USA
2020,EN,FT,45896,50,DK,S,0,FT,1,0,Other,0,0,DK
2020,EN,FT,54742,100,DE,L,0,FT,1,1,Data Engineer,0,2,DE
2020,SE,FL,60000,100,USA,S,2,FL,0,1,Other,0,0,USA
2020,SE,FT,148261,100,DE,M,2,FT,1,1,Data Scientist,1,1,DE
2020,MI,FT,38776,100,ES,M,1,FT,1,1,Data Scientist,0,1,ES
2020,MI,FT,118000,100,USA,M,1,FT,1,1,Data Scientist,0,1,USA
2020,SE,FT,120000,50,USA,L,2,FT,1,0,Data Scientist,0,2,USA
2020,MI,FT,138350,100,USA,M,1,FT,1,1,Data Scientist,0,1,USA
2020,MI,FT,110000,100,USA,L,1,FT,1,1,Data Engineer,0,2,USA
2020,MI,FT,130800,100,USA,M,1,FT,1,1,Data Engineer,0,1,USA
2020,EN,PT,21669,50,IT,S,0,PT,0,0,Data Scientist,0,0,IT
2020,SE,FT,412000,100,USA,L,2,FT,1,1,Data Scientist,0,2,USA
2020,SE,FT,45618,100,HR,S,2,FT,1,1,ML Engineer,0,0,HR
2020,EN,FT,62726,50,DE,S,0,FT,1,0,Data Scientist,0,0,DE
2020,EN,FT,49268,0,DE,S,0,FT,1,0,Data Scientist,0,0,DE
2020,SE,FT,190200,100,USA,M,2,FT,1,1,Manager,1,1,USA
2020,EN,FT,105000,100,USA,S,0,FT,1,1,Data Scientist,0,0,USA
2020,SE,FT,91237,0,AT,S,2,FT,1,0,Data Scientist,0,0,AT
2020,MI,FT,62726,50,LU,S,1,FT,1,0,Data Scientist,0,0,LU
2020,MI,FT,42197,50,FR,S,1,FT,1,0,Data Scientist,0,0,FR
2021,EN,FT,82528,50,UK,L,0,FT,1,0,Research,0,2,UK
2021,EX,FT,150000,100,USA,L,3,FT,1,1,Analyst,0,2,USA
2021,EX,FT,235000,100,USA,L,3,FT,1,1,Director,1,2,USA
2021,SE,FT,53192,50,FR,L,2,FT,1,0,Data Scientist,0,2,FR
2021,MI,FT,100000,100,USA,M,1,FT,1,1,Analyst,0,1,USA
2021,MI,PT,5409,50,India,M,1,PT,0,0,Research,0,1,India
2021,MI,CT,270000,100,USA,L,1,CT,0,1,ML Engineer,0,2,USA
2021,EN,FT,80000,100,USA,M,0,FT,1,1,Analyst,0,1,USA
2021,SE,FT,79197,100,DE,L,2,FT,1,1,Other,0,2,DE
2021,MI,FT,140000,100,USA,L,1,FT,1,1,Data Engineer,0,2,USA
2021,MI,FT,54238,50,CA,L,1,FT,1,0,Data Scientist,0,2,CA
2021,MI,FT,47282,100,ES,S,1,FT,1,1,ML Engineer,0,0,ES
2021,EX,FT,153667,100,PL,L,3,FT,1,1,Director,1,2,PL
